time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-04-25T19:54:41.320Z,19.4090004,-155.3265076,3.049999952,2.89,ml,40,67,,0.159999996,hv,hv73376292,2023-04-25T20:07:39.193Z,"10 km WSW of Volcano, Hawaii",earthquake,0.36,0.720000029,1.98,22,automatic,hv,hv
2023-04-25T19:53:53.630Z,19.44133377,-155.5813293,32.63999939,3.32,ml,13,76,,0.200000003,hv,hv73376287,2023-04-25T20:05:16.300Z,"28 km NNW of Pāhala, Hawaii",earthquake,1.17,1.74000001,0.84,16,automatic,hv,hv
2023-04-25T18:00:00.527Z,61.5241,-146.5828,18.4,2.6,ml,,,,0.76,ak,ak0235ahipq8,2023-04-25T19:42:55.337Z,"45 km NNW of Valdez, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-04-25T17:40:14.619Z,51.695,-173.6916,31,3.8,ml,,,,0.49,ak,ak0235ah5ols,2023-04-25T18:17:50.818Z,"65 km SSE of Atka, Alaska",earthquake,,1.6,,,reviewed,ak,ak
2023-04-25T15:34:31.168Z,34.5379,122.567,10,4.7,mb,89,55,4.324,1.02,us,us7000jvsv,2023-04-25T16:05:58.040Z,"228 km ENE of Hede, China",earthquake,8,1.836,0.062,79,reviewed,us,us
2023-04-25T13:49:07.095Z,43.7766,-71.475,6.816,2.9,mb_lg,22,98,0.14,0.33,us,us7000jvs7,2023-04-25T20:17:49.940Z,"4 km SW of Center Sandwich, New Hampshire",earthquake,0.81,3.471,0.073,50,reviewed,us,us
2023-04-25T13:32:00.199Z,40.0916,141.8077,58.842,4.4,mb,40,132,0.899,0.87,us,us7000jvs4,2023-04-25T15:10:17.040Z,"1 km SSW of Noda, Japan",earthquake,5.59,7.398,0.112,23,reviewed,us,us
2023-04-25T11:55:47.190Z,33.3678333,-116.417,12.47,2.68,ml,111,13,0.0585,0.2,ci,ci40445232,2023-04-25T17:11:25.280Z,"13km NNW of Borrego Springs, CA",earthquake,0.11,0.4,0.155,114,reviewed,ci,ci
2023-04-25T11:12:24.833Z,-41.3478,-86.2335,10,5.5,mww,98,60,9.594,0.62,us,us7000jvrn,2023-04-25T13:36:39.652Z,West Chile Rise,earthquake,11.08,1.697,0.078,16,reviewed,us,us
2023-04-25T11:00:41.751Z,-14.7576,167.2964,193.648,4.5,mb,35,56,6.436,0.67,us,us7000jvrk,2023-04-25T13:58:29.040Z,"39 km NE of Port-Olry, Vanuatu",earthquake,11.26,8.276,0.106,26,reviewed,us,us
2023-04-25T09:19:42.530Z,19.4575,-65.8143,87,3.73,md,11,248,1.2669,0.45,pr,pr2023115000,2023-04-25T09:47:04.715Z,"113 km N of Suárez, Puerto Rico",earthquake,6.43,11.77,0.13,4,reviewed,pr,pr
2023-04-25T08:30:52.708Z,31.6100989,-103.9603331,8.483850098,2.6,ml,33,53,0.007281849,0.2,tx,tx2023iayh,2023-04-25T16:12:38.428Z,"35 km WSW of Mentone, Texas",earthquake,0.505798311,0.498958174,0.2,25,reviewed,tx,tx
2023-04-25T07:40:51.784Z,31.6060821,-103.9588366,7.879711914,3.2,ml,13,56,0.009706727,0.1,tx,tx2023iawp,2023-04-25T12:56:07.180Z,"35 km WSW of Mentone, Texas",earthquake,0.673771808,0.703437775,0.1,15,reviewed,tx,tx
2023-04-25T07:25:02.082Z,44.8695,52.4433,10.388,4.5,mb,49,52,3.67,0.87,us,us7000jvqr,2023-04-25T12:11:17.078Z,"84 km NNE of Shetpe, Kazakhstan",earthquake,8.31,5.457,0.079,48,reviewed,us,us
2023-04-25T05:35:59.850Z,-2.8165,-79.8398,60.464,5.3,mww,86,83,0.761,1.28,us,us7000jvqd,2023-04-25T16:52:58.742Z,near the coast of Ecuador,earthquake,5.73,6.862,0.089,12,reviewed,us,us
2023-04-25T04:12:15.150Z,35.7639999,-121.2365036,9.17,3.23,ml,51,169,0.1058,0.1,nc,nc73877500,2023-04-25T14:03:28.581Z,"14km NNW of San Simeon, CA",earthquake,0.29,0.73,0.239,20,automatic,nc,nc
2023-04-25T03:38:15.693Z,59.5461,-152.083,56.3,3.5,ml,,,,0.6,ak,ak0235a8tdoh,2023-04-25T05:11:07.180Z,"23 km NNW of Nanwalek, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-04-25T03:28:22.959Z,31.68028184,-104.3962996,6.440063477,2.8,ml,26,56,0.025232185,0.2,tx,tx2023iaoh,2023-04-25T15:51:32.466Z,"54 km S of Whites City, New Mexico",earthquake,0.742005158,0.684720438,0.1,53,reviewed,tx,tx
2023-04-25T03:13:56.380Z,17.93883333,-66.96733333,15.34,2.47,md,5,227,0.07926,0.07,pr,pr71406673,2023-04-25T03:28:59.800Z,"7 km WSW of Guánica, Puerto Rico",earthquake,0.72,0.78,0.011551648,3,reviewed,pr,pr
2023-04-25T02:07:06.770Z,18.02133333,-66.75083333,13.26,3.07,md,20,155,0.03875,0.11,pr,pr71406648,2023-04-25T03:13:21.760Z,"1 km ENE of Magas Arriba, Puerto Rico",earthquake,0.26,0.25,0.149073368,6,reviewed,pr,pr
2023-04-24T23:20:39.450Z,6.1879,126.8282,122.789,4.8,mb,61,122,1.519,0.41,us,us7000jvny,2023-04-25T01:36:07.040Z,"74 km ESE of Pondaguitan, Philippines",earthquake,6.62,7.359,0.06,86,reviewed,us,us
2023-04-24T22:19:16.439Z,-0.9254,98.5229,21.649,4.9,mb,64,138,2.408,0.78,us,us7000jvnk,2023-04-24T22:37:33.040Z,"170 km NW of Tuapejat, Indonesia",earthquake,8.81,5.634,0.074,57,reviewed,us,us
2023-04-24T22:16:17.745Z,47.138,-76.1393,9.809,3.4,mb_lg,25,119,1.429,0.38,us,us7000jvnf,2023-04-25T14:08:23.073Z,"71 km NW of Ferme-Neuve, Canada",earthquake,4.43,7.379,0.059,76,reviewed,us,us
2023-04-24T21:29:10.930Z,19.0035,-67.47,5.71,3.02,md,11,239,0.6158,0.19,pr,pr71406628,2023-04-24T21:43:46.960Z,"68 km NW of San Antonio, Puerto Rico",earthquake,0.96,1.33,0.159160814,11,reviewed,pr,pr
2023-04-24T20:56:40.412Z,61.2997,-147.1508,3.9,2.7,ml,,,,0.78,ak,ak02358vibm1,2023-04-24T20:58:49.546Z,"47 km WNW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
